date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2021-03-09,AD,41,0,,,11130,112,,
2021-03-10,AD,69,0,,,11199,112,,
2021-03-11,AD,29,0,,,11228,112,,
2021-03-12,AD,0,0,,,11228,112,,
2021-03-13,AD,38,1,,,11266,113,,
2021-03-14,AD,23,0,,,11289,113,,162071
2021-03-15,AD,30,0,,,11319,113,,
2021-03-16,AD,41,0,,,11360,113,,
2021-03-17,AD,33,0,,,11393,113,,
2021-03-18,AD,38,0,,,11431,113,,
2021-03-19,AD,50,0,,,11481,113,,
2021-03-20,AD,36,0,,,11517,113,,
2021-03-21,AD,28,0,,,11545,113,,164665
2021-03-22,AD,46,0,,,11591,113,,
2021-03-23,AD,47,1,,,11638,114,,
2021-03-24,AD,49,0,,,11687,114,,
2021-03-25,AD,45,0,,,11732,114,,
2021-03-26,AD,77,1,,,11809,115,,
2021-03-27,AD,41,0,,,11850,115,,
2021-03-28,AD,38,0,,,11888,115,,168244
2021-03-29,AD,56,0,,,11944,115,,
2021-03-30,AD,66,0,,,12010,115,,
2021-03-31,AD,43,0,,,12053,115,,
2021-04-01,AD,62,1,,,12115,116,,
2021-04-02,AD,59,1,,,12174,117,,
2021-04-03,AD,57,0,,,12231,117,,
2021-04-04,AD,55,0,,,12286,117,,171485
2021-04-05,AD,42,0,,,12328,117,,
2021-04-06,AD,35,2,,,12363,119,,
2021-04-07,AD,46,1,,,12409,120,,
2021-04-08,AD,47,0,,,12456,120,,
2021-04-09,AD,41,0,,,12497,120,,
2021-04-10,AD,48,0,,,12545,120,,
2021-04-11,AD,36,1,,,12581,121,,173789
2021-04-12,AD,33,0,,,12614,121,,
2021-04-13,AD,27,0,,,12641,121,,
2021-04-14,AD,0,0,,,12641,121,,
2021-04-15,AD,71,2,,,12712,123,,
2021-04-16,AD,59,0,,,12771,123,,
2021-04-17,AD,34,0,,,12805,123,,
2021-04-18,AD,0,0,,,12805,123,,177079
2021-04-19,AD,69,0,,,12874,123,,
2021-04-20,AD,43,0,,,12917,123,,
2021-04-21,AD,25,0,,,12942,123,,
2021-04-22,AD,65,1,,,13007,124,,
2021-04-23,AD,17,0,,,13024,124,,
2021-04-24,AD,36,0,,,13060,124,,
2021-04-25,AD,23,0,,,13083,124,,180633
2021-04-26,AD,38,0,,,13121,124,,
2021-04-27,AD,27,1,,,13148,125,,
2021-04-28,AD,50,0,,,13198,125,,
2021-04-29,AD,34,0,,,13232,125,,
2021-04-30,AD,0,0,,,13232,125,,
2021-05-01,AD,50,2,,,13282,127,,
2021-05-02,AD,13,0,,,13295,127,,183476
2021-05-03,AD,21,0,,,13316,127,,
2021-05-04,AD,24,0,,,13340,127,,
2021-05-05,AD,23,0,,,13363,127,,
2021-05-06,AD,27,0,,,13390,127,,
2021-05-07,AD,16,0,,,13406,127,,
2021-05-08,AD,17,0,,,13423,127,,
2021-05-09,AD,6,0,,,13429,127,,186191
2021-05-10,AD,18,0,,,13447,127,,
2021-05-11,AD,23,0,,,13470,127,,
2021-05-12,AD,0,0,,,13470,127,,
2021-05-13,AD,40,0,,,13510,127,,
2021-05-14,AD,0,0,,,13510,127,,
